id,question_vi,sentence,choices,answer,explanation_vi
1,Chọn trợ từ đúng.,スプーン ___ ごはんをたべます。,1) で;2) を;3) が;4) から,1,「で」 chỉ công cụ/phương tiện
2,Chọn trợ từ đúng.,サッカー ___ すきです。,1) まで;2) が;3) と;4) から,2,「が」 đi với すき/きらい
3,Chọn trợ từ đúng.,かぞく ___ はなします。,1) と;2) に;3) まで;4) が,1,「と」 chỉ đối tượng đối thoại
4,Chọn trợ từ đúng.,りょうしん ___ はなします。,1) が;2) と;3) を;4) まで,2,「と」 chỉ đối tượng đối thoại
5,Chọn trợ từ đúng.,へやのなか ___ ねこがいます。,1) を;2) から;3) に;4) が,3,「に」 chỉ vị trí tồn tại
6,Chọn trợ từ đúng.,ベトナムご ___ できます。,1) まで;2) から;3) を;4) が,4,「が」 đi với できます
7,Chọn trợ từ đúng.,つくえのうえ ___ ほんがあります。,1) まで;2) を;3) に;4) と,3,「に」 chỉ vị trí tồn tại
8,Chọn trợ từ đúng.,スーパー ___ べんきょうします。,1) が;2) と;3) を;4) で,4,「で」 chỉ nơi diễn ra hành động
9,Chọn trợ từ đúng.,としょかん ___ はたらきます。,1) に;2) で;3) を;4) が,2,「で」 chỉ nơi diễn ra hành động
10,Chọn trợ từ đúng.,さんじ ___ しごとをおわります。,1) に;2) と;3) で;4) まで,4,「まで」 chỉ điểm kết thúc
11,Chọn trợ từ đúng.,えいご ___ わかります。,1) に;2) と;3) が;4) から,3,「が」 đi với わかる
12,Chọn trợ từ đúng.,えき ___ あるきます。,1) に;2) から;3) と;4) を,2,「から」 chỉ điểm xuất phát
13,Chọn trợ từ đúng.,コーヒー ___ すきです。,1) が;2) に;3) で;4) を,1,「が」 đi với すき/きらい
14,Chọn trợ từ đúng.,えいが ___ すきです。,1) まで;2) で;3) と;4) が,4,「が」 đi với すき/きらい
15,Chọn trợ từ đúng.,えいが ___ みます。,1) を;2) から;3) が;4) に,1,「を」 đánh dấu tân ngữ
16,Chọn trợ từ đúng.,おとうと ___ えいがをみます。,1) で;2) と;3) に;4) が,2,「と」 nghĩa là 'cùng với'
17,Chọn trợ từ đúng.,らいしゅう ___ しごとをおわります。,1) を;2) で;3) まで;4) と,3,「まで」 chỉ điểm kết thúc
18,Chọn trợ từ đúng.,しゅくだい ___ かきます。,1) に;2) を;3) と;4) で,2,「を」 đánh dấu tân ngữ
19,Chọn trợ từ đúng.,かばんのなか ___ ねこがいます。,1) に;2) で;3) を;4) と,1,「に」 chỉ vị trí tồn tại
20,Chọn trợ từ đúng.,あした ___ しごとをおわります。,1) から;2) と;3) に;4) まで,4,「まで」 chỉ điểm kết thúc
21,Chọn trợ từ đúng.,しゅくだい ___ よみます。,1) まで;2) が;3) から;4) を,4,「を」 đánh dấu tân ngữ
22,Chọn trợ từ đúng.,えいご ___ できます。,1) に;2) から;3) まで;4) が,4,「が」 đi với できます
23,Chọn trợ từ đúng.,すし ___ すきです。,1) が;2) から;3) と;4) まで,1,「が」 đi với すき/きらい
24,Chọn trợ từ đúng.,かれ ___ がくせいです。,1) まで;2) で;3) が;4) は,4,「は」 là trợ từ chủ đề
25,Chọn trợ từ đúng.,えいご ___ かきます。,1) が;2) まで;3) を;4) と,3,「を」 đánh dấu tân ngữ
26,Chọn trợ từ đúng.,ざっし ___ みます。,1) を;2) まで;3) に;4) で,1,「を」 đánh dấu tân ngữ
27,Chọn trợ từ đúng.,レストラン ___ はたらきます。,1) と;2) で;3) が;4) まで,2,「で」 chỉ nơi diễn ra hành động
28,Chọn trợ từ đúng.,てがみ ___ たべます。,1) から;2) が;3) を;4) に,3,「を」 đánh dấu tân ngữ
29,Chọn trợ từ đúng.,いもうと ___ はなします。,1) まで;2) で;3) に;4) と,4,「と」 chỉ đối tượng đối thoại
30,Chọn trợ từ đúng.,ごご5じ ___ かいぎがあります。,1) に;2) で;3) まで;4) から,1,「に」 chỉ thời điểm
31,Chọn trợ từ đúng.,かぞく ___ えいがをみます。,1) と;2) から;3) で;4) に,1,「と」 nghĩa là 'cùng với'
32,Chọn trợ từ đúng.,がっこう ___ はたらきます。,1) が;2) に;3) から;4) で,4,「で」 chỉ nơi diễn ra hành động
33,Chọn trợ từ đúng.,ごはん ___ よみます。,1) に;2) から;3) と;4) を,4,「を」 đánh dấu tân ngữ
34,Chọn trợ từ đúng.,わたし ___ がくせいです。,1) は;2) から;3) を;4) と,1,「は」 là trợ từ chủ đề
35,Chọn trợ từ đúng.,おんがく ___ よみます。,1) で;2) を;3) まで;4) に,2,「を」 đánh dấu tân ngữ
36,Chọn trợ từ đúng.,はし ___ ごはんをたべます。,1) が;2) から;3) と;4) で,4,「で」 chỉ công cụ/phương tiện
