id,question_vi,kanji,choices,answer,explanation_vi
1,"""車"" có nghĩa là gì?",車,1) xe buýt;2) xe đạp;3) xe tải;4) xe hơi,4,"""車"" nghĩa là ""xe hơi"""
2,"""自転車"" có nghĩa là gì?",自転車,1) xe máy;2) xe hơi;3) xe buýt;4) xe đạp,4,"""自転車"" nghĩa là ""xe đạp"""
3,"""バス"" có nghĩa là gì?",バス,1) tàu điện;2) xe buýt;3) xe hơi;4) xe đạp,2,"""バス"" nghĩa là ""xe buýt"""
4,"""電車"" có nghĩa là gì?",電車,1) xe hơi;2) xe buýt;3) tàu hoả;4) tàu điện,4,"""電車"" nghĩa là ""tàu điện"""
5,"""駅"" có nghĩa là gì?",駅,1) bến xe;2) bến cảng;3) sân bay;4) nhà ga,4,"""駅"" nghĩa là ""nhà ga"""
6,"""空港"" có nghĩa là gì?",空港,1) ngân hàng;2) nhà ga;3) bưu điện;4) sân bay,4,"""空港"" nghĩa là ""sân bay"""
7,"""学校"" có nghĩa là gì?",学校,1) bệnh viện;2) cửa hàng;3) siêu thị;4) trường học,4,"""学校"" nghĩa là ""trường học"""
8,"""大学"" có nghĩa là gì?",大学,1) trường nghề;2) trường cấp 3;3) đại học;4) trường tiểu học,3,"""大学"" nghĩa là ""đại học"""
9,"""高校"" có nghĩa là gì?",高校,1) tiểu học;2) trường cấp 3;3) cấp 2;4) đại học,2,"""高校"" nghĩa là ""trường cấp 3"""
10,"""中学校"" có nghĩa là gì?",中学校,1) trường cấp 2;2) tiểu học;3) mẫu giáo;4) cấp 3,1,"""中学校"" nghĩa là ""trường cấp 2"""
11,"""小学校"" có nghĩa là gì?",小学校,1) mẫu giáo;2) cấp 2;3) trường tiểu học;4) cấp 3,3,"""小学校"" nghĩa là ""trường tiểu học"""
12,"""先生"" có nghĩa là gì?",先生,1) giáo viên;2) kỹ sư;3) bác sĩ;4) học sinh,1,"""先生"" nghĩa là ""giáo viên"""
13,"""学生"" có nghĩa là gì?",学生,1) học sinh/sinh viên;2) nhân viên;3) giáo viên;4) bác sĩ,1,"""学生"" nghĩa là ""học sinh/sinh viên"""
14,"""病院"" có nghĩa là gì?",病院,1) phòng khám;2) bệnh viện;3) hiệu thuốc;4) trường học,2,"""病院"" nghĩa là ""bệnh viện"""
15,"""薬"" có nghĩa là gì?",薬,1) bệnh;2) thuốc;3) tiêm;4) bông băng,2,"""薬"" nghĩa là ""thuốc"""
16,"""銀行"" có nghĩa là gì?",銀行,1) siêu thị;2) ngân hàng;3) bưu điện;4) cửa hàng,2,"""銀行"" nghĩa là ""ngân hàng"""
17,"""郵便局"" có nghĩa là gì?",郵便局,1) trạm cảnh sát;2) bưu điện;3) siêu thị;4) ngân hàng,2,"""郵便局"" nghĩa là ""bưu điện"""
18,"""交番"" có nghĩa là gì?",交番,1) bưu điện;2) trạm cảnh sát;3) ngân hàng;4) bệnh viện,2,"""交番"" nghĩa là ""trạm cảnh sát"""
19,"""店"" có nghĩa là gì?",店,1) siêu thị;2) nhà hàng;3) cửa hàng;4) cửa hiệu cắt tóc,3,"""店"" nghĩa là ""cửa hàng"""
20,"""スーパー"" có nghĩa là gì?",スーパー,1) chợ;2) siêu thị;3) nhà hàng;4) cửa hàng tiện lợi,2,"""スーパー"" nghĩa là ""siêu thị"""
21,"""コンビニ"" có nghĩa là gì?",コンビニ,1) cửa hàng điện máy;2) cửa hàng tiện lợi;3) siêu thị;4) nhà hàng,2,"""コンビニ"" nghĩa là ""cửa hàng tiện lợi"""
22,"""レストラン"" có nghĩa là gì?",レストラン,1) siêu thị;2) nhà hàng;3) quán cà phê;4) cửa hàng,2,"""レストラン"" nghĩa là ""nhà hàng"""
23,"""喫茶店"" có nghĩa là gì?",喫茶店,1) nhà hàng;2) quán nước;3) siêu thị;4) quán cà phê,4,"""喫茶店"" nghĩa là ""quán cà phê"""
24,"""家"" có nghĩa là gì?",家,1) căn hộ;2) nhà;3) phòng;4) kí túc,2,"""家"" nghĩa là ""nhà"""
25,"""部屋"" có nghĩa là gì?",部屋,1) ban công;2) nhà;3) phòng;4) cửa,3,"""部屋"" nghĩa là ""phòng"""
26,"""窓"" có nghĩa là gì?",窓,1) cửa sổ;2) rèm;3) ban công;4) cửa ra vào,1,"""窓"" nghĩa là ""cửa sổ"""
27,"""ドア"" có nghĩa là gì?",ドア,1) ban công;2) cửa sổ;3) cổng;4) cửa ra vào,4,"""ドア"" nghĩa là ""cửa ra vào"""
28,"""机"" có nghĩa là gì?",机,1) tủ;2) bàn;3) giường;4) ghế,2,"""机"" nghĩa là ""bàn"""
29,"""椅子"" có nghĩa là gì?",椅子,1) ghế;2) giường;3) tủ;4) bàn,1,"""椅子"" nghĩa là ""ghế"""
30,"""本"" có nghĩa là gì?",本,1) báo;2) sách;3) truyện;4) tạp chí,2,"""本"" nghĩa là ""sách"""
31,"""新聞"" có nghĩa là gì?",新聞,1) tạp chí;2) sách;3) báo;4) truyện,3,"""新聞"" nghĩa là ""báo"""
32,"""雑誌"" có nghĩa là gì?",雑誌,1) tạp chí;2) sách;3) báo;4) truyện,1,"""雑誌"" nghĩa là ""tạp chí"""
33,"""辞書"" có nghĩa là gì?",辞書,1) từ điển;2) tập;3) vở;4) sách giáo khoa,1,"""辞書"" nghĩa là ""từ điển"""
34,"""鉛筆"" có nghĩa là gì?",鉛筆,1) bút chì;2) tẩy;3) bút bi;4) bút mực,1,"""鉛筆"" nghĩa là ""bút chì"""
35,"""ボールペン"" có nghĩa là gì?",ボールペン,1) bút mực;2) bút chì;3) bút dạ;4) bút bi,4,"""ボールペン"" nghĩa là ""bút bi"""
36,"""消しゴム"" có nghĩa là gì?",消しゴム,1) gọt bút;2) bút chì;3) thước;4) tẩy,4,"""消しゴム"" nghĩa là ""tẩy"""
37,"""定規"" có nghĩa là gì?",定規,1) tẩy;2) compa;3) bút;4) thước kẻ,4,"""定規"" nghĩa là ""thước kẻ"""
38,"""時計"" có nghĩa là gì?",時計,1) đồng hồ;2) lịch;3) báo thức;4) đồng hồ báo thức,1,"""時計"" nghĩa là ""đồng hồ"""
